text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation,predicted_label,bot_probability
Day 10 of asking to be in a video,9,2,2,0,0,0,2,3,-0.033655,-0.273039,1,0,0.337476
Yes but dont make it too dangerous,8,0,2,1,1,1,0,3,-0.303858,-0.543242,1,0,0.252438
W Darious,2,0,0,0,0,2,0,0,-0.212036,-0.45142,0,1,0.652897
Whose missing karl[e],4,1,1,0,0,0,1,1,-0.079171,-0.318555,0,1,0.541269
if you pin me i will sub your all chanel,10,1,3,0,0,4,1,1,0.241307,0.001923,1,0,0.387593
How can I join the next challenge please [e],11,1,2,1,0,1,1,5,0.122398,-0.116986,1,0,0.310574
lDoNT NO,2,1,0,0,0,1,0,0,-0.397619,-0.637003,1,0,0.5
bro whats goingon your views are hnnnnn,8,2,3,1,0,2,0,0,-0.606881,-0.846265,1,0,0.129357
Mr beast you have 150M subscriber I have subscribed you please give me I phone please my dreams complete I am form India Up Mathura banana awa khera[e],30,5,5,2,0,12,2,4,0.879738,0.640354,1,0,0.421523
Bro more videos want,4,2,1,1,0,0,0,0,0.392846,0.153462,1,0,0.434946
I Lived in pakistand But i watched mr beast vlog bcz Mr beast is best vlogger and youtuber [e],21,5,4,1,0,5,0,6,0.93733,0.697946,1,0,0.271417
Do my challeng stay for 24 hour on the most dangerous island plssssss,13,4,2,1,1,1,2,2,-0.858524,-1.097908,1,0,0.179409
Yes go with boys and adventure and videos,8,3,1,0,0,0,0,4,0.345788,0.106404,0,1,0.592474
Big fan,2,1,0,1,0,0,0,0,0.876016,0.636632,0,1,0.699049
Hii mrBeast [e] Cameraman good done [e],11,1,2,1,1,0,0,6,0.907187,0.667803,1,0,0.356358
Please give me an iPhone too MrBeast. I am from India.,13,0,2,0,1,5,1,4,0.756086,0.516702,1,0,0.468569
Darius is the goat man he carried,7,1,2,0,0,3,1,0,0.927605,0.688221,0,1,0.631761
MrBeast is the best Youtuber in the history ! He changes the world ! Go go go MrBeast ! [e],22,2,5,1,0,4,3,7,0.983252,0.743868,1,0,0.244345
