text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation,predicted_label,bot_probability
Mr beast you again challenge the zalmi on astola island in 100 hours,13,4,1,0,1,3,2,2,0.247945,0.008561,0,0,0.216254
I love u mrbeast[e][e][e][e],5,0,1,0,0,3,0,1,0.975955,0.736571,1,1,0.799215
the like.......,3,0,0,0,0,0,1,2,-0.084698,-0.324082,1,1,0.709977
I am from Bangladesh[e],5,0,1,0,0,2,0,2,0.064978,-0.174406,1,1,0.721637
I want in show,4,1,1,0,0,1,0,1,0.204674,-0.03471,1,1,0.711931
Mrbeast give me some money plssssssss[e][e][e][e][e][e],7,1,2,0,0,2,1,1,0.489496,0.250112,1,1,0.580568
Give me one chance,4,1,1,0,0,1,1,0,0.485909,0.246525,1,1,0.690547
Your challenge accepted Mr.Beast,5,1,1,0,0,3,0,0,0.735134,0.49575,1,1,0.762517
darius have a lot of chans his black for africa,10,3,1,0,0,3,1,2,0.076689,-0.162695,0,0,0.360926
Yeah,1,0,0,0,0,0,0,1,0.401566,0.162182,1,1,0.879371
Help me please,3,0,1,0,0,1,0,1,0.430884,0.1915,1,1,0.820089
its like moana but better,5,1,0,1,1,1,0,1,0.629017,0.389633,0,0,0.488233
Anybody wanna talk,3,1,1,0,0,1,0,0,0.018344,-0.22104,1,1,0.645092
Insane...,2,0,0,0,0,1,0,1,-0.342839,-0.582223,1,1,0.615591
Superfr,1,1,0,0,0,0,0,0,0.439006,0.199622,1,1,0.837702
Halo,1,1,0,0,0,0,0,0,0.297876,0.058492,1,1,0.818382
Need i phone,3,0,2,0,0,1,0,0,0.133685,-0.105699,1,1,0.68701
If it weren't for Darius we would never have seen Mr. Beast again.,15,0,4,0,2,5,0,4,-0.666149,-0.905533,0,0,0.280653
Miss the videos like this I feel like jimmy has gotten too focused on the giving money away rather than just doing challenges with the boys like the good ole times looking forward to more of these,37,6,7,3,5,4,4,8,0.083442,-0.155942,0,0,0.216431
Please 10k subscribers complete Mr beast fan[e][e][e],8,3,0,1,0,2,0,2,0.641659,0.402275,1,1,0.516227
Safelyest lighting a fire [e],7,1,1,1,0,0,1,3,0.016288,-0.223096,0,0,0.349609
Videos never disappointing [e] Also Enhypen is 7 [e],13,1,2,0,2,1,1,6,0.595913,0.356529,0,0,0.28463
bros getting these ideas from rblx[e] I swear next video gonna be surviving 99 nights in a forest [e],23,6,4,1,0,1,3,8,-0.115873,-0.355257,0,0,0.152354
Lesson of this video: throw trash in the ocean because it might help mrbeast [e][e][e],18,3,4,0,0,2,3,6,0.039824,-0.19956,0,0,0.198558
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
From Bangladesh [e][e],5,1,0,0,0,1,0,3,0.015296,-0.224088,1,1,0.728764
So the plan was to rely on the possibility of finding barrels in the trash which might have ended up on the island? hmm,25,5,6,0,1,1,4,8,-0.253932,-0.493316,0,0,0.216434
OP!!!,4,1,0,0,0,0,0,3,0.680142,0.440758,1,1,0.844162
Are you going,3,0,2,0,0,1,0,0,0.062556,-0.176828,1,1,0.662389
u do a lot more and to melt plastic it needs to go strait to the fire,17,3,4,2,0,2,2,4,-0.254301,-0.493685,0,0,0.098699
Hi Mr beast 2026,4,1,0,0,0,1,1,1,0.450831,0.211447,1,1,0.764199
Mrbeast pls 1000$,4,0,0,0,0,1,1,2,0.27325,0.033866,1,1,0.799317
Yes!!!,4,0,0,0,0,0,0,4,0.832464,0.59308,1,1,0.869435
WHY DID THEY NEED A SAIL?,7,0,2,0,0,2,1,2,-0.647588,-0.886972,0,0,0.276256
Hello i am from Greece and i think its a very good idea to do a chalenge/ Survival n Creta. Its verry beautiful we are waiting you [e][e] Ps: maybe I could help ( I am 12 years old) I have special abilites and I could help you see the place [e][e],59,6,13,4,2,16,5,13,0.972201,0.732817,1,1,0.799347
Camera man and that other person that came as a guide i forgot his name they literally carried mr beast and his team,23,7,3,1,1,6,2,3,0.517525,0.278141,0,0,0.170151
[e] Don't warry but [e],10,0,2,0,0,0,0,8,-0.078969,-0.318353,1,1,0.690596
Find myself,2,0,1,0,0,1,0,0,0.173713,-0.065671,1,1,0.775796
I want to join,4,0,2,0,0,1,0,1,0.407227,0.167843,1,1,0.74635
Darius deffo got a raise after this,7,2,1,0,0,2,1,1,0.680191,0.440807,1,1,0.635732
Come in India and meet me,6,0,2,0,0,2,0,2,0.314201,0.074817,1,1,0.710291
yes,1,0,0,0,0,0,0,1,0.377813,0.138429,1,1,0.877684
i hope to see DARRIUS in the next video,9,2,2,1,0,1,1,2,0.865581,0.626197,0,0,0.379013
Why do I feel defeated and want to cry? Darius really did his absolute best Better luck next time guys [e],24,3,6,4,1,3,0,7,-0.235362,-0.474746,0,0,0.191172
this video totally screpted,4,1,1,0,1,0,1,0,0.093213,-0.146171,0,0,0.46925
Where is the karl,4,1,1,0,0,0,1,1,-0.335971,-0.575355,0,0,0.423311
Cameraman never dies  Bring him out more,7,1,2,0,2,1,0,1,0.484078,0.244694,0,0,0.322267
Darius the goat if he's in the video in the next episode that'd would be bangers.,19,4,4,1,0,3,3,4,0.924022,0.684638,0,0,0.199025
Build a boat refrence,4,2,1,0,0,0,1,0,-0.07725,-0.316634,0,0,0.442817
[e]jxu,2,0,0,0,0,0,1,1,-0.020615,-0.259999,1,1,0.730458
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
