text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation
Mr beast you again challenge the zalmi on astola island in 100 hours,13,4,1,0,1,3,2,2,0.247945,0.008561,0
I love u mrbeast[e][e][e][e],5,0,1,0,0,3,0,1,0.975955,0.736571,1
the like.......,3,0,0,0,0,0,1,2,-0.084698,-0.324082,1
I am from Bangladesh[e],5,0,1,0,0,2,0,2,0.064978,-0.174406,1
I want in show,4,1,1,0,0,1,0,1,0.204674,-0.03471,1
Mrbeast give me some money plssssssss[e][e][e][e][e][e],7,1,2,0,0,2,1,1,0.489496,0.250112,1
Give me one chance,4,1,1,0,0,1,1,0,0.485909,0.246525,1
Your challenge accepted Mr.Beast,5,1,1,0,0,3,0,0,0.735134,0.49575,1
darius have a lot of chans his black for africa,10,3,1,0,0,3,1,2,0.076689,-0.162695,0
Yeah,1,0,0,0,0,0,0,1,0.401566,0.162182,1
Day 10 of asking to be in a video,9,2,2,0,0,0,2,3,-0.033655,-0.273039,1
Yes but dont make it too dangerous,8,0,2,1,1,1,0,3,-0.303858,-0.543242,1
Help me please,3,0,1,0,0,1,0,1,0.430884,0.1915,1
its like moana but better,5,1,0,1,1,1,0,1,0.629017,0.389633,0
Anybody wanna talk,3,1,1,0,0,1,0,0,0.018344,-0.22104,1
Insane...,2,0,0,0,0,1,0,1,-0.342839,-0.582223,1
Superfr,1,1,0,0,0,0,0,0,0.439006,0.199622,1
Halo,1,1,0,0,0,0,0,0,0.297876,0.058492,1
Need i phone,3,0,2,0,0,1,0,0,0.133685,-0.105699,1
If it weren't for Darius we would never have seen Mr. Beast again.,15,0,4,0,2,5,0,4,-0.666149,-0.905533,0
Miss the videos like this I feel like jimmy has gotten too focused on the giving money away rather than just doing challenges with the boys like the good ole times looking forward to more of these,37,6,7,3,5,4,4,8,0.083442,-0.155942,0
Please 10k subscribers complete Mr beast fan[e][e][e],8,3,0,1,0,2,0,2,0.641659,0.402275,1
Safelyest lighting a fire [e],7,1,1,1,0,0,1,3,0.016288,-0.223096,0
Videos never disappointing [e] Also Enhypen is 7 [e],13,1,2,0,2,1,1,6,0.595913,0.356529,0
bros getting these ideas from rblx[e] I swear next video gonna be surviving 99 nights in a forest [e],23,6,4,1,0,1,3,8,-0.115873,-0.355257,0
Lesson of this video: throw trash in the ocean because it might help mrbeast [e][e][e],18,3,4,0,0,2,3,6,0.039824,-0.19956,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
W Darious,2,0,0,0,0,2,0,0,-0.212036,-0.45142,0
Whose missing karl[e],4,1,1,0,0,0,1,1,-0.079171,-0.318555,0
if you pin me i will sub your all chanel,10,1,3,0,0,4,1,1,0.241307,0.001923,1
From Bangladesh [e][e],5,1,0,0,0,1,0,3,0.015296,-0.224088,1
How can I join the next challenge please [e],11,1,2,1,0,1,1,5,0.122398,-0.116986,1
So the plan was to rely on the possibility of finding barrels in the trash which might have ended up on the island? hmm,25,5,6,0,1,1,4,8,-0.253932,-0.493316,0
OP!!!,4,1,0,0,0,0,0,3,0.680142,0.440758,1
Are you going,3,0,2,0,0,1,0,0,0.062556,-0.176828,1
u do a lot more and to melt plastic it needs to go strait to the fire,17,3,4,2,0,2,2,4,-0.254301,-0.493685,0
Hi Mr beast 2026,4,1,0,0,0,1,1,1,0.450831,0.211447,1
lDoNT NO,2,1,0,0,0,1,0,0,-0.397619,-0.637003,1
Mrbeast pls 1000$,4,0,0,0,0,1,1,2,0.27325,0.033866,1
bro whats goingon your views are hnnnnn,8,2,3,1,0,2,0,0,-0.606881,-0.846265,1
Mr beast you have 150M subscriber I have subscribed you please give me I phone please my dreams complete I am form India Up Mathura banana awa khera[e],30,5,5,2,0,12,2,4,0.879738,0.640354,1
Yes!!!,4,0,0,0,0,0,0,4,0.832464,0.59308,1
Bro more videos want,4,2,1,1,0,0,0,0,0.392846,0.153462,1
WHY DID THEY NEED A SAIL?,7,0,2,0,0,2,1,2,-0.647588,-0.886972,0
I Lived in pakistand But i watched mr beast vlog bcz Mr beast is best vlogger and youtuber [e],21,5,4,1,0,5,0,6,0.93733,0.697946,1
Hello i am from Greece and i think its a very good idea to do a chalenge/ Survival n Creta. Its verry beautiful we are waiting you [e][e] Ps: maybe I could help ( I am 12 years old) I have special abilites and I could help you see the place [e][e],59,6,13,4,2,16,5,13,0.972201,0.732817,1
Camera man and that other person that came as a guide i forgot his name they literally carried mr beast and his team,23,7,3,1,1,6,2,3,0.517525,0.278141,0
[e] Don't warry but [e],10,0,2,0,0,0,0,8,-0.078969,-0.318353,1
Find myself,2,0,1,0,0,1,0,0,0.173713,-0.065671,1
I want to join,4,0,2,0,0,1,0,1,0.407227,0.167843,1
Darius deffo got a raise after this,7,2,1,0,0,2,1,1,0.680191,0.440807,1
Come in India and meet me,6,0,2,0,0,2,0,2,0.314201,0.074817,1
yes,1,0,0,0,0,0,0,1,0.377813,0.138429,1
Do my challeng stay for 24 hour on the most dangerous island plssssss,13,4,2,1,1,1,2,2,-0.858524,-1.097908,1
i hope to see DARRIUS in the next video,9,2,2,1,0,1,1,2,0.865581,0.626197,0
Why do I feel defeated and want to cry? Darius really did his absolute best Better luck next time guys [e],24,3,6,4,1,3,0,7,-0.235362,-0.474746,0
this video totally screpted,4,1,1,0,1,0,1,0,0.093213,-0.146171,0
Yes go with boys and adventure and videos,8,3,1,0,0,0,0,4,0.345788,0.106404,0
Where is the karl,4,1,1,0,0,0,1,1,-0.335971,-0.575355,0
Big fan,2,1,0,1,0,0,0,0,0.876016,0.636632,0
Hii mrBeast [e] Cameraman good done [e],11,1,2,1,1,0,0,6,0.907187,0.667803,1
Cameraman never dies  Bring him out more,7,1,2,0,2,1,0,1,0.484078,0.244694,0
Darius the goat if he's in the video in the next episode that'd would be bangers.,19,4,4,1,0,3,3,4,0.924022,0.684638,0
Please give me an iPhone too MrBeast. I am from India.,13,0,2,0,1,5,1,4,0.756086,0.516702,1
Build a boat refrence,4,2,1,0,0,0,1,0,-0.07725,-0.316634,0
[e]jxu,2,0,0,0,0,0,1,1,-0.020615,-0.259999,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
You are best in the world mr beast[e],9,1,1,1,0,3,1,2,0.96379,0.724406,1
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Darius is the goat man he carried,7,1,2,0,0,3,1,0,0.927605,0.688221,0
@ @@@@,2,0,0,0,0,0,0,2,-0.022129,-0.261513,1
What about trying it with bigger boat...,8,1,1,1,0,2,0,3,0.053232,-0.186152,0
Brother come in india[e][e],5,2,1,0,0,0,0,2,0.181092,-0.058292,1
MrBeast is the best Youtuber in the history ! He changes the world ! Go go go MrBeast ! [e],22,2,5,1,0,4,3,7,0.983252,0.743868,1
GIMMEH MY COOKIE,3,0,0,0,0,3,0,0,0.243767,0.004383,0
Mr. Beast noted it correctly.,6,0,1,0,1,3,0,1,0.647685,0.408301,0
Overacting,1,0,1,0,0,0,0,0,-0.159953,-0.399337,0
The camera man is going crazy,6,2,2,1,0,0,1,0,0.455716,0.216332,0
good,1,0,0,1,0,0,0,0,0.580132,0.340748,1
24:18 yeah that's fake,5,0,1,1,0,1,1,1,-0.648273,-0.887657,0
I am from nepal and i also want to play one game [e],15,1,3,1,1,2,1,6,0.252116,0.012732,0
I'm new subscriber[e] for your channel [e]bro[e][e],11,1,1,1,0,3,1,4,0.583775,0.344391,0
My name is Komal and I am from a very poor family in India. My parents are laborers and our home is made of mud. Life is difficult but I have one dream  to study and change my familys future. I want to learn and become something in life but I cannot afford coaching or proper study resources. Still I try every day with hope in my heart. I humbly request a little support for my education. Even a small help can change my life and bring happiness to my parents who work very hard every day. Thank you for reading my message and for spreading kindness in the world.  Komal India,121,26,24,5,6,22,7,31,-0.401544,-0.640928,1
I love Darius the cameraman  He should join more video  Inshallah,11,2,3,1,0,4,1,0,0.977963,0.738579,0
Fallow me,2,0,1,0,0,1,0,0,0.19116,-0.048224,1
[e][e][e]Hello MrBeast I truly take no pleasure in having to say this to you but I am currently going through a very difficult time. I am in the 6th grade and my school fees are extremely high. My father is the sole earning member of our family and he struggles to manage our household expenses. I also have a sister who attends school and her fees must be paid as well. We don't even own a home of our own; we live in a rented house. My father earns just $117 out of which he has to pay my sister's and my school fees; consequently there is hardly any money left for us to afford decent food or clothing. We don't even have enough money to buy a vehicle. If you wouldn't mindplease please pleasecould you donate a little money to me? If you do this I will be able to continue my education; otherwise I will be forced to drop out of school. Thank you. And please do reply to me.,192,27,43,10,13,35,11,53,-0.802995,-1.042379,1
Mrbeast love your videos I'm in need,8,2,2,0,0,3,0,1,0.960287,0.720903,1
mr best why you got a fake birb,8,1,1,1,1,2,1,1,-0.500502,-0.739886,0
Dude darious is so cool he should definitely join more challenges!,12,1,4,3,2,1,0,1,0.977701,0.738317,0
Mr. Beast can you give me 10000$,8,0,2,0,0,4,1,1,0.54256,0.303176,1
[e][e][e][e][e][e][e][e][e],3,1,0,0,0,0,0,2,0.013888,-0.225496,1
The way they werent paddling in unison was driving me nuts,12,2,4,0,0,3,1,2,-0.753005,-0.992389,0
The video is incomplete without saying about nolan's mom[e][e],11,2,2,1,0,1,1,4,-0.79187,-1.031254,0
Guys these blue [e] drums were bring here by Mr beast only as you can see in starting the same blue can they carring water in them. So how can a big blue drum can came on an island,42,7,10,4,3,4,4,10,-0.165332,-0.404716,1
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Sona [e],4,0,0,0,0,1,0,3,0.020098,-0.219286,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Nice [e],4,0,0,1,0,0,0,3,0.941641,0.702257,1
I was here in 2026 watching this,7,0,2,0,1,2,1,1,0.141122,-0.098262,1
Yess missed chandler and Im so proud of everyone. This was an awesome video,16,2,3,2,1,4,1,3,0.986755,0.747371,0
But where is Wilson ?,5,0,1,0,0,1,0,3,-0.110771,-0.350155,0
Please [e][e][e],4,0,0,0,0,0,0,4,0.328443,0.089059,1
Mrbeast can you give me 10000 thousand dollars [e] please,12,1,2,0,0,3,2,4,0.580538,0.341154,1
How did you all not have any life jackets?,10,2,2,0,0,2,1,3,-0.570471,-0.809855,0
Am from india,3,0,1,0,0,1,0,1,0.197879,-0.041505,1
Darius deserves appreciation,3,1,1,0,0,1,0,0,0.749438,0.510054,0
I have been a subscriber from long time[e][e] but I still didn't get any gift from u [e][e],22,4,4,1,1,3,2,7,-0.692207,-0.931591,1
Yes [e] beast,5,1,0,0,0,0,0,4,0.195112,-0.044272,1
I went into coma to see if there were any comments about Epshti Island.,15,2,3,0,0,4,1,5,-0.339251,-0.578635,0
honestly I like the videos with people competing for something,10,2,2,0,1,2,1,2,0.719769,0.480385,0
Until you find a way make your own path.[e],10,2,2,1,0,2,1,2,0.047534,-0.19185,0
Vote For  Darious Deffo back,5,1,1,1,1,0,0,1,0.302344,0.06296,0
mistebis,1,0,0,0,0,1,0,0,-0.110707,-0.350091,1
Bro you just stole the video,6,2,1,0,1,1,1,0,-0.792385,-1.031769,0
Darius did all the hard work hats off bro,9,1,2,1,0,2,2,1,0.907836,0.668452,0
feels like a mr beast video again! and Darius we see you[e][e],14,3,2,0,1,3,1,4,0.861267,0.621883,0
El Quatro,2,0,0,0,0,2,0,0,0.102982,-0.136402,1
I watch your videos all the time and you don't help me at all. Time.      $500 help me [e][e] [e][e][e][e][e][e],28,3,4,0,2,6,3,10,-0.927144,-1.166528,1
better luck next time,4,2,0,2,0,0,0,0,0.836742,0.597358,0
Hlo,1,0,1,0,0,0,0,0,0.389108,0.149724,1
Where is tareq ? We miss him in this video,10,2,2,0,0,2,1,3,-0.092321,-0.331705,0
Im sooo missed for video like this [e][e] New videos fells like... tv show and thats makes me sad. But this video.. i love it. (Sorry for mistakes my English very bad haha),43,9,6,3,1,8,1,15,0.210671,-0.028713,0
Mr Beast Always great[e],5,0,0,0,2,2,0,1,0.977752,0.738368,1
Hello sir I am from India I need your help please help me .,14,2,3,0,0,5,0,4,0.538894,0.29951,1
SUBSCRIBE [e][e][e],4,0,0,0,0,1,0,3,0.220121,-0.019263,1
W dairus [e],5,1,0,0,0,1,0,3,0.019434,-0.21995,0
You can do this come on[e],7,0,3,0,0,3,0,1,0.915659,0.676275,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
W darius in the replies!!!,8,2,0,0,0,1,1,4,0.270667,0.031283,0
