text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,is_bot_annotation
Mr beast you again challenge the zalmi on astola island in 100 hours,13,4,1,0,1,3,2,2,0
I love u mrbeast[e][e][e][e],5,0,1,0,0,3,0,1,1
the like.......,3,0,0,0,0,0,1,2,1
I am from Bangladesh[e],5,0,1,0,0,2,0,2,1
I want in show,4,1,1,0,0,1,0,1,1
Mrbeast give me some money plssssssss[e][e][e][e][e][e],7,1,2,0,0,2,1,1,1
Give me one chance,4,1,1,0,0,1,1,0,1
Your challenge accepted Mr.Beast,5,1,1,0,0,3,0,0,1
darius have a lot of chans his black for africa,10,3,1,0,0,3,1,2,0
Yeah,1,0,0,0,0,0,0,1,1
Day 10 of asking to be in a video,9,2,2,0,0,0,2,3,1
Yes but dont make it too dangerous,8,0,2,1,1,1,0,3,1
Help me please,3,0,1,0,0,1,0,1,1
its like moana but better,5,1,0,1,1,1,0,1,0
Anybody wanna talk,3,1,1,0,0,1,0,0,1
Insane...,2,0,0,0,0,1,0,1,1
Superfr,1,1,0,0,0,0,0,0,1
Halo,1,1,0,0,0,0,0,0,1
Need i phone,3,0,2,0,0,1,0,0,1
If it weren't for Darius we would never have seen Mr. Beast again.,15,0,4,0,2,5,0,4,0
Miss the videos like this I feel like jimmy has gotten too focused on the giving money away rather than just doing challenges with the boys like the good ole times looking forward to more of these,37,6,7,3,5,4,4,8,0
Please 10k subscribers complete Mr beast fan[e][e][e],8,3,0,1,0,2,0,2,1
Safelyest lighting a fire [e],7,1,1,1,0,0,1,3,0
Videos never disappointing [e] Also Enhypen is 7 [e],13,1,2,0,2,1,1,6,0
bros getting these ideas from rblx[e] I swear next video gonna be surviving 99 nights in a forest [e],23,6,4,1,0,1,3,8,0
Lesson of this video: throw trash in the ocean because it might help mrbeast [e][e][e],18,3,4,0,0,2,3,6,0
[e][e][e],3,0,0,0,0,0,0,3,1
W Darious,2,0,0,0,0,2,0,0,0
Whose missing karl[e],4,1,1,0,0,0,1,1,0
if you pin me i will sub your all chanel,10,1,3,0,0,4,1,1,1
From Bangladesh [e][e],5,1,0,0,0,1,0,3,1
How can I join the next challenge please [e],11,1,2,1,0,1,1,5,1
So the plan was to rely on the possibility of finding barrels in the trash which might have ended up on the island? hmm,25,5,6,0,1,1,4,8,0
OP!!!,4,1,0,0,0,0,0,3,1
Are you going,3,0,2,0,0,1,0,0,1
u do a lot more and to melt plastic it needs to go strait to the fire,17,3,4,2,0,2,2,4,0
Hi Mr beast 2026,4,1,0,0,0,1,1,1,1
lDoNT NO,2,1,0,0,0,1,0,0,1
Mrbeast pls 1000$,4,0,0,0,0,1,1,2,1
bro whats goingon your views are hnnnnn,8,2,3,1,0,2,0,0,1
Mr beast you have 150M subscriber I have subscribed you please give me I phone please my dreams complete I am form India Up Mathura banana awa khera[e],30,5,5,2,0,12,2,4,1
Yes!!!,4,0,0,0,0,0,0,4,1
Bro more videos want,4,2,1,1,0,0,0,0,1
WHY DID THEY NEED A SAIL?,7,0,2,0,0,2,1,2,0
